doc_id,book_num,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,translator,book_title,title
100,1,-0.1620855215743922,-0.06831144856247487,0.07295170036096112,-0.005737172849820877,0.014305262839890602,0.023532893742474977,0.0284379304570168,-0.028606485807287814,-0.0590970765683377,-0.0006337192657694921,Butler,"The Iliad, by Homer
","100, ch 1"
100,2,-0.1516943972878793,-0.11346776582135416,0.04997782687002472,-0.15866524598945275,-0.10060047260683395,0.07297380844336065,-0.06233214826907362,0.14133801425674997,0.32527220801509765,0.08640796679328908,Butler,"The Iliad, by Homer
","100, ch 2"
100,3,-0.1845141451679916,-0.1823738124970403,-0.010780219519899756,-0.028680897712793484,-0.017984538588030775,-0.024190446099938926,0.057629985602203504,-0.04845022746514482,-0.005163596307609865,-0.06178381892575455,Butler,"The Iliad, by Homer
","100, ch 3"
100,4,-0.1972945382869178,-0.2914198379123412,-0.0030114991606084523,0.010835569893548447,0.02842449470446753,-0.07554680752216172,0.03382018686788487,-0.09182049763264043,-0.05739981962164467,-0.05295223250090776,Butler,"The Iliad, by Homer
","100, ch 4"
100,5,-0.19469484057984146,-0.10731395490607129,-0.016374324679376356,-0.10708932118560176,-0.03719054429959686,0.1675270174394956,0.11315230989016369,-0.2306244593490508,-0.020844812204521133,0.168905238767062,Butler,"The Iliad, by Homer
","100, ch 5"
100,6,-0.21459189559061187,-0.1414014206941432,0.1917623668142591,-0.3262533291572667,-0.45826838865669917,-0.014204067252462742,0.011624181539047491,0.230262226420761,-0.05893377334897058,-0.140163686914164,Butler,"The Iliad, by Homer
","100, ch 6"
100,7,-0.17041951432895383,-0.19426662446500448,0.0035451100631579387,0.0046990702204951044,-0.061923593796112564,-0.07136670538094174,0.06480840667777948,-0.02792596149793885,-0.017321009381473157,-0.07801213308003943,Butler,"The Iliad, by Homer
","100, ch 7"
100,8,-0.1510692277269785,-0.046776217622951366,0.03139429083764954,-0.09378383730230526,-0.1131024267500724,0.04851153153859975,0.09504731095754403,-0.08648051225287111,-0.18751427079915992,0.005741196016532623,Butler,"The Iliad, by Homer
","100, ch 8"
100,9,-0.17589804012131566,-0.08716169558704333,0.021345692929353042,0.010651296339614142,0.0042686257163097345,0.008460365078357894,0.03552834491343566,0.06442354700567665,0.2161206614742508,-0.040390741575397605,Butler,"The Iliad, by Homer
","100, ch 9"
100,10,-0.2214999974356436,-0.21624397023200473,-0.046457734836193594,0.04237274745872978,0.038790080134167085,-0.10791776016002855,-0.020667896332075122,-0.061867751664228754,0.09936040007959317,-0.02409087053463579,Butler,"The Iliad, by Homer
","100, ch 10"
100,11,-0.1975371905496099,-0.26006800666541113,-0.04223418583812279,0.12672462320306915,0.1353126042143532,-0.00036661182922960076,-0.038825563119927485,-0.025651963475993182,0.019351912689191633,-0.08370264170732135,Butler,"The Iliad, by Homer
","100, ch 11"
100,12,-0.20684173177089213,-0.2865041952508117,0.0014607312387088884,0.07282849567826238,-0.0068081084417149825,0.026297748830899404,0.009311255097400556,-0.05951810965863137,-0.015184341390764878,0.011728825129544977,Butler,"The Iliad, by Homer
","100, ch 12"
100,13,-0.1728416133936065,-0.14301202177304217,0.000506533452095695,0.021382739872153757,-0.0019089702779841572,0.04990920952010259,0.008556990895806142,-0.0813904144542747,0.018631081636417215,0.06965176027752162,Butler,"The Iliad, by Homer
","100, ch 13"
100,14,-0.1983236459622189,-0.21126484955267788,-0.015725386813046704,0.015818127403037435,0.030845385076374722,-0.0927819811995656,0.006536909870542874,-0.05160967573028649,-0.04716184357817074,-0.029510592380783417,Butler,"The Iliad, by Homer
","100, ch 14"
100,15,-0.1947437133531002,-0.2255249055111077,-0.03029723174070918,0.07663754963048686,0.01821695421163048,-0.0022079798697056553,-0.030123984644455346,-0.0498770238342689,-0.0029449067188260106,0.011311272801090885,Butler,"The Iliad, by Homer
","100, ch 15"
100,16,-0.18323868512718813,-0.27273054927300694,-0.07347640814898095,0.06903674685326515,0.10973823042252329,-0.044786839811286124,0.05727399522262612,-0.14856227099631802,-0.040332686641008905,-0.09453689885264985,Butler,"The Iliad, by Homer
","100, ch 16"
100,17,-0.1763503271377336,-0.18343247520972092,0.019101083917648108,0.13549532922323773,0.1050466063424507,0.08430833060772405,-0.3257232756698237,0.11382728079728485,-0.3753305817913475,0.09757163983722397,Butler,"The Iliad, by Homer
","100, ch 17"
200,1,-0.15883051687376923,0.1705326947313605,-0.07507931058289505,-0.09685931312500635,0.17545135862698477,0.05664572628708617,-0.03285918969005721,-0.01715680927210228,-0.07593781160308398,0.062287179572759796,Butler,"The Odyssey, by Homer
","200, ch 1"
200,2,-0.17230061697820578,0.14035198787579584,0.14612913002965391,-0.12780765778855613,0.0889241752509481,0.1227407171613784,0.09079913406101534,0.07449314459759508,-0.03420043450672591,-0.12327497835572584,Butler,"The Odyssey, by Homer
","200, ch 2"
200,3,-0.18159586442774,0.09427049693025583,-0.0030132804924328594,0.045033759337989185,0.07178539741861181,0.031236149870367814,0.024652961966074957,-0.03941979610253883,-0.018653847945505262,0.046557169511743504,Butler,"The Odyssey, by Homer
","200, ch 3"
200,4,-0.13425650572362766,0.18723770541090662,0.21381099175760018,0.35247049291792676,0.09721674002180766,0.10588268047087702,-0.1562852936439492,0.2565527189952367,0.15847143899023305,-0.16249905482948002,Butler,"The Odyssey, by Homer
","200, ch 4"
