term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
looked,-0.043960256242378176,-0.0013904713125895939,0.020725743141657333,0.023748744219667325,-0.011245925069061576,-0.002298465360618397,-0.008034999208031161,0.00806575128013097,0.01600707136260972,0.009393799351307207
prayed,-0.04233673800377957,0.009848224416087088,0.016484143099306126,-0.019804598314705102,-0.00649464201299145,-0.023593336322012038,0.00540289889504756,0.014741482772048821,0.0179938223362327,-0.0017710087004639968
reached,-0.041001747270662914,0.007980184943953084,0.01284237545422684,0.002509442665238504,-0.011365989760602657,0.003946954028698518,-0.0030992326835801998,0.0024703667843658933,-0.0014013684047735342,0.008549515247332579
killed,-0.043576460736888374,9.983768696189554e-05,0.012576318365669747,-0.010265328935799511,0.0014406106813248942,0.003692158656619038,0.0055979733044028285,-0.007745532977285849,-0.00439618459170088,0.012045119103363838
covered,-0.04298121606661171,0.010204253616013848,0.0020257765088232405,0.030038002745220477,-0.016299179180192698,-0.009999621635465382,-0.01448981000991078,0.015371842515668949,-0.017603076052730038,0.00891147302227785
towards,-0.04172455644634239,-0.007712327409075348,-0.00700861904810933,0.012716189423814112,-0.0021213929435055373,-0.011163927572363126,-0.003130736144862853,-0.015075368737995011,0.00938451742521551,0.029164327767514084
converse,-0.03789549533664108,0.014435565549457463,-0.0035748495210554676,0.005490737909404804,-0.02054607764184202,-0.017173278867408562,0.01157009484615236,-0.013620325745776957,-0.013785436926717937,-0.005254931211015196
meanwhile,-0.03806406407569754,-0.005261336913582798,-0.019458714707247138,-0.006023892490757743,0.002903467893981909,0.002458782569242819,0.0006980967257937398,0.007684342198496147,0.013972792917595234,-0.0030380435447042997
turned,-0.03868686691130599,0.0008015612811058184,0.004940062893157682,-0.0003657353459785573,0.001541000213514554,-0.013197452512563893,-0.01883701984309133,0.024480385154402005,-0.0025657358188517984,-0.008607721369534051
raised,-0.038618663966921395,-0.0003090637459937408,0.01780370910104126,-0.009410310364662111,0.017297987487094768,-0.008427484877414007,-0.014463289436302554,0.010728398752290771,0.013311069103433382,0.017384234695426132
passed,-0.04095932159974343,-0.0010654539555334285,0.01854274343655557,0.0011398906908736128,-0.0018574549262662353,-0.00749013567613066,0.034858162785501356,-0.02168049913277703,0.009047734230897608,-0.013446990888038135
moreover,-0.04201202193010623,-0.015710627640804706,0.028907154148088865,-0.032579467745171425,-0.01270554762340595,-0.008036426212307685,0.0026628835105600435,-0.003444425296210446,-0.009823769775792968,0.01859496424821616
gathered,-0.041976950735995604,-0.00620534213764357,0.01681775926723378,-0.015121896611163116,0.008659683773302063,-0.016912135189618545,0.0037506382933989724,0.003271029876960735,-0.01986122804195295,-0.008673255890294308
given,-0.03823353962950126,0.0025458515901210124,0.0005708742341303252,0.0010663053773017073,-0.0016952233760137991,0.022748723025617326,-0.004598368611156783,0.013574876210777666,-0.005420274801770014,-0.014931970754867713
its,-0.03854700352318948,-0.006469368540723066,-0.010754294441932884,-0.010763823605970335,-0.007840233287385145,0.019715394990744387,-0.0019748339687209876,-0.00606180173678348,-0.011407927890922959,-0.0012057798988769353
stayed,-0.04212030726650205,0.0039265414109216495,0.009097655418422347,-0.019338004476995893,-0.015017726140463317,-0.027725297198345523,0.0147978278025796,-0.0033362976288840718,0.002499476839781384,-0.006084801522113423
getting,-0.02796528078944739,0.04271362593268745,-0.001702167597523767,-0.0024910898628974845,-0.005441855967775522,-0.011946721615378006,0.01889449451980385,0.01786082074842904,0.007505571801100883,-0.005196550641715175
outside,-0.04223147142083398,0.01594988436869627,0.0011986190101380572,0.004788663655732869,-0.04228046380712172,-0.024084030918918246,0.007548566099169152,0.009868986412368635,-0.0054148230522727825,0.008385802730952852
whereon,-0.04163017181318131,-0.017678493962273396,0.007824079139527538,0.010315825988500168,0.012436349610634778,0.008714974933309999,-0.0363043227435057,0.03443598866983291,0.032148720753435084,-0.0032301948478910547
nevertheless,-0.040840511493369494,-0.005596828100374613,0.002589357816737507,0.020879936343021786,0.010433835358209312,-0.017799413967787753,0.0020072412847969012,-0.017624254110719127,-0.04185245687084438,0.0032033455336222504
however,-0.03580551176491225,0.0194131986626426,-0.03233017062120434,0.012698967197466066,0.001602445166062047,0.005454864288401029,0.015282759150068714,-0.011474274792268535,0.008096659605356299,-0.021589684638919304
marry,-0.03769168018655344,0.052044848822903264,-0.016280604760624266,0.016142782601384416,-0.0036161830451316088,-0.022362071003846185,0.01790301690447027,-0.00909019667304592,0.0034146713146883667,0.00780675170815337
already,-0.036503739683037946,0.0007629975105234028,-0.012679210874538502,0.007379068890179414,0.009834912167991566,-0.000500339940863348,0.024532865480958753,-0.00905938471314982,0.03770236154966018,-0.0046148523118030305
inside,-0.040843351840135496,0.02373185763601968,-0.04136821168640344,-0.0006657619530415844,0.02233538011156201,-0.006232740747306342,-0.02201896004470684,0.024306412917413034,-0.01283385154976363,0.0038013189412687597
became,-0.0190073378029483,0.021304228279879364,0.02297719126288126,0.01418012187556248,0.00856473569746407,-0.006782636897635863,-0.007779617751456497,-0.03467333655331435,-0.006976725445892534,-0.008853136114210458
throughout,-0.03444646258858974,0.009695263147164901,0.029631744949067854,-0.03209115720034287,0.0013816608423126361,-0.008445078165326692,-0.004082074322546286,-0.004888897927094112,-0.03820459369691978,0.012776845433200734
filled,-0.03647375874276684,0.007178026430554202,-0.02989355219890682,0.010639459435656142,0.012037675489349604,-0.0011705475264305043,0.0029699120728733097,0.0029508679599281884,-0.029900234213804625,-0.00811322100898948
sprang,-0.04271393975912316,-0.03881418579287005,-0.0020340747103219513,-0.007984201774748416,-0.03652284203950162,0.010051977586745808,0.009915193034343628,-0.016925691583016628,0.02762723491738044,0.007738941139399727
saved,-0.0425528964476838,-0.03295782016852756,-0.007478829368072327,-0.012947769724192136,-0.007406594021432888,0.0003411552849974936,-0.02585735688700619,0.007959279867179425,9.25772936784669e-05,-0.005931602656637801
carry,-0.028954655749689265,-0.005492614499762021,0.017510249865869208,0.007284528469738837,0.018260354858386542,-0.01088393046287879,-0.004829954423114596,0.014210327591636485,0.020483304473574104,0.02019698001849761
saying,-0.03501274282266303,0.002221558452248339,-0.01696654275638233,0.0012681500315690787,-0.0029089957061320193,0.003312854747396016,-0.008536518048949258,0.003958357115515098,0.0031048673327388017,-0.007937171017215843
washed,-0.040845115016213955,0.024697938255849948,0.02293179875422747,0.03249616068497577,-0.0092824726203748,-0.023900248388191055,-0.016969032751516514,0.021521224694635226,0.012438952672175188,0.00829716167045269
evil,-0.03779680274297514,0.006097307362614196,-0.010961037016597565,-0.03041877995192305,0.0030559801987031883,-0.0058776768186757835,-0.0077816479476495,0.012174832903214451,-0.0017136447948165635,-0.004768483772807907
fallen,-0.04104666797972078,-0.02617968281423602,0.0029991932238734587,-0.013824398620064333,0.007864452349030054,0.012236183624121523,-0.02155622929132729,0.00989708835089928,0.013021460682192548,0.014807730318933416
spoken,-0.0185792095400922,-0.015160877742927193,0.010609551004319337,-0.010011058527668213,-0.011323566185928759,-0.0205669089272977,-0.007826845700693042,0.008292778272349737,-0.010552885898203992,0.008878185842065327
wanted,-0.029451447847772032,0.03236527190885933,-0.011113762512657588,0.01321655162949667,-0.037661391290120735,-0.026096130609304956,0.021402816412377255,0.004734175266820219,0.009816200529529851,-0.0027179854737618392
whether,-0.036246452711298775,0.0103824418476814,-0.0162575084632794,0.006395442263592345,0.010977029383439337,0.009076007845143258,0.0076396184463452,-0.006521447873097266,0.008178299802751208,-0.0066633224102680055
also,-0.034657473972226786,0.008087021608629653,0.002463240178415683,0.0024453704866249032,-0.003210989091761114,-0.0005167118603846373,0.0023698475922531888,0.006865688928177507,0.0020910277934143035,0.0021623569922404615
longer,-0.021712918776918652,-0.0012569316803610693,-0.001899013627690334,0.0021929244225677045,-0.0038993303179435663,-0.014699697911409909,-0.014325918235725084,0.0008793872481622431,-0.011774368869332478,0.006708579926587498
clean,-0.025031087852600543,0.01939314604072192,-0.006590026003880098,0.020118384917660662,0.020064978816742397,-0.034806464832265134,-0.008087952158611585,-0.001144926955003421,0.006067168156400334,-0.015032842483821918
driven,-0.0315291424987856,-0.026843661301029945,0.012244135689099442,-0.0171113278546877,0.016146503117904745,0.01831468091273735,-0.0011357113956039198,-0.011873929222894722,-0.015352813008321923,-0.011200345379698983
heaven,-0.0362138770720365,0.0062733206621749535,0.011479354429471796,0.0042144373194045156,0.007105610227073585,-0.002684651309533172,0.0027724659444318435,-0.004181569611049816,-0.008108184122626943,0.002635914148678982
answered,-0.03471608084213704,0.008503566535599468,0.0016750491763073384,0.0006537708220793384,-0.004478934532425978,-0.00213705938374499,0.005311852494157272,0.005588625074772013,0.00031899978382774006,0.002081265905180143
minded,-0.018013077143365856,-0.014548264278771319,0.015777519955623417,-0.008509338419443204,-0.0019932667868806935,-0.035896629419847406,0.02312471830577135,0.014913391634340897,-0.0012387076245711465,-0.024723454800306587
sitting,-0.02267802981666831,0.00811233496732758,0.02968778832981446,-5.7236224114493286e-05,0.024104984971427965,0.004932320807929266,-0.005302537543593515,0.0039047144240472948,-0.009095915446909106,-0.006024206050270477
wine,-0.00197611393017179,0.030792483240460994,-0.006483948691297783,-0.017746896570561325,-0.001598084387996945,0.013355004751861913,-0.026065173956056613,0.0011289023387260917,0.02957407919244966,0.0012714719387702592
between,-0.03615729160258664,-0.00820998819358578,-0.01160827254979677,-0.02328736015978231,-0.0028526428544043813,0.003326530727767525,0.003788297020986158,0.0052827685384944385,0.014714152171734206,0.009472879095846116
followed,-0.03763850709513918,-0.0031494346031569714,0.026884722534133734,-0.010436036749197608,0.03986811761307883,-0.015023859962545053,-0.009096264071550234,-0.005693382812806154,-0.026189751425614163,0.01848438360812233
spear,-0.02733190422309024,-0.033192436977375006,-0.0207383422579122,-0.004794372941279538,-0.012549896098044907,-0.003678478340976987,-0.014176582367631009,0.004159295237394782,-0.0025323100889737076,-0.002047481183453139
throw,-0.018936486493772466,0.017971493888849287,-0.02714616005124617,0.0031519383338419736,0.008300088732431743,-0.00396325119188898,-0.006675629008055739,0.02016122851359428,0.02150988442333834,-0.01711276425230203
escape,-0.03149487087355876,0.006183949563492314,-0.024745471984325997,0.01769520674536733,0.013755572727002362,0.007090984193278353,0.009024661408331589,-0.012035818789658766,-0.012122187900690366,-0.022361264754399448
fine,-0.015606649203005005,0.018795451366638932,0.01982455587596847,0.008041916398332696,0.009413189447171039,-0.00016107960729473073,-0.021825246488744888,0.0051298377800773585,0.014859503366211894,0.011398632140928431
carried,-0.02539264787423415,0.005557425823657779,0.020325910772960764,0.009271193580042272,0.006778630981248432,-0.003383878563034483,0.013369637247297075,-0.007249050103258266,0.014155221560356587,0.020916682449638666
surely,-0.025485712749839476,0.0012136697772640798,-0.015092921311663518,-0.011867724619354885,-0.012660708332362582,0.010335330503205661,0.0018977635193633447,0.001511046982702287,0.0005874903234803297,0.013164124306603499
shouted,-0.03563820115608659,-0.0437416916123707,-0.005776301237406745,-0.013047478625974157,-0.007624711032158846,-0.005292626320056278,-0.0225184433669935,0.006809397111596355,-0.0010747785118177962,0.021635326841219688
hither,-0.0161004350405308,-0.013603478789433677,0.0180761668705109,0.008114355330750453,0.011635087134975054,0.018868827972682484,-0.03465516926167657,-0.0019542062044077997,-0.01861984336067959,-0.011159082127564904
has,-0.03360893037830603,0.005065504104407733,0.0008815416789748551,0.004583980250828481,-0.0005893582479891248,-0.0016580305549257826,0.006795557851407988,0.009676638870857323,0.0002705120373144359,0.002203210980316375
does,-0.023102599898261682,0.010661622705970604,-0.022265780486830197,-0.007746830321226803,0.026810218550234355,0.0017855098240581566,-0.0036232977766189793,0.0018031622195093925,-0.022892811924327152,0.0023482122207374202
deemed,-0.03962447459924863,-0.010164695246363303,0.0038882127851248877,0.033022988385450015,-0.0010417639911467044,0.026475614122263805,0.008224103565197202,-0.01989480026033468,0.06740666347668428,0.012288731397380528
used,-0.02295601426263066,0.01894244068112532,0.0017957697716117073,0.003372022860591833,-0.004524638119099302,-0.006983968722871899,-0.0038604074079222435,0.012605216904438015,0.015016316768174035,0.007690042982979286
vouchsafe,-0.02171560499333703,-0.02169497248530071,0.0041218286133187015,0.007107891259173249,-0.028807954553288204,0.012510251792976405,0.012478047865480877,-0.020848538951953835,0.004216271403309408,-0.007058509586159927
caught,-0.02642906078789772,-0.0038804193135131447,0.018123071255460324,-0.014793583831543122,0.007670724534138794,-0.015935938281803987,-0.0038900751964403846,0.007905952689008726,0.013403250052221094,0.026204061435814382
trying,-0.0346811234471088,0.0038599958875756963,-0.016291091335980012,0.005651344828523482,0.025481086570480045,0.006091458582484879,-0.025180423340131968,0.008846953627869046,-0.009783085218301731,0.007735706745818516
sail,-0.0186246671951458,0.021876413720926153,0.04372831135153147,-0.01925014816195296,-0.018583877485459862,0.0050716321285484076,0.011782862707088157,-0.023654420475950032,0.00752287910965418,0.007073185389843721
married,-0.027522731132128886,0.01959415282679943,-0.016580642435116862,0.01619213890493921,-0.004151200553607688,0.024863558559494608,0.022058900379465233,-0.006849378405403974,0.03193149628195666,-0.015312607963465896
listen,-0.04051977609287239,0.006387483084851202,-0.028906501925707304,0.0070654433991261464,-0.004249262695351593,-0.00012460939915748823,0.0026744601809868583,-0.016115334176037065,0.008383748490036733,0.024281060087347435
struck,-0.018669918250975803,-0.009845707677741766,0.013865855022902177,-0.0020875061913969827,-0.008853460667264184,-0.006699409354585361,-0.007457761014843824,-0.029269390603027134,0.01978142370030736,0.000735966603028276
forward,-0.023812125336470324,-0.022139245606370386,0.0014931873868028747,-0.015220755514552528,0.005109469891303109,-0.00433537064213218,0.01414465335037871,0.021796810440467503,0.02724320913064233,0.005629091409268889
grant,-0.010685337120318387,0.012523243062435775,0.011627435572958445,-0.012460114154164207,0.03065569915981973,0.030359314638509816,-0.00890894426627539,0.02469758572536746,0.0001794817421296828,0.01839340179221632
indeed,-0.030860102971913543,0.0037398113738781515,0.0009679695480802777,-0.003782772286229044,-0.0022931890414136747,-0.006145700007764781,0.005516013209997657,0.00409519915349533,-0.008804156867345989,-0.0008578525429631925
afraid,-0.02544588865196734,0.013840251438506354,-0.007660602305941,0.017045852142933377,0.008527609158219774,-0.034632156891603746,-0.006832385839355746,0.010365354333958769,-0.013420435729329841,0.010291261060240985
bringing,-0.01886485234450937,-0.0007662222985206461,-0.007366545249078804,-0.014813496084350782,0.03460801109295368,0.007800975570785071,-0.005031696865009765,0.005238901093352606,-0.007427148333290863,0.004410146403442913
called,-0.030516621705280578,-0.00018332948371078354,0.005912265669302534,-0.0019990534766830942,0.028065883845833955,-0.011099891845684133,-0.0015792251858055754,0.0020421714730494505,0.0117668333876631,0.0018907110691785004
talk,-0.027431977663270806,0.019710831416395597,-0.03694987919356946,-0.010766869817487413,0.01373802207060101,-0.008903399035336903,-0.01456676673441213,0.00897909700631698,-0.0003129159057143373,0.011158524202323397
begin,-0.0182277441523472,0.02044342754955137,0.010743526294448951,-0.016993961667789572,-0.00829723383435281,0.026394137086028436,0.03813565730896375,-0.006152752620975983,-0.0038615862381416446,-0.01755504198550855
says,-0.010748605060213792,0.009337033876799655,-0.03116241195102737,-0.028337426165056478,-0.011006322269704626,0.0005999303462763384,-0.022436618036819955,-0.008821477179000507,-0.004755680083637669,0.004112370766979581
mixed,-0.034727883800341294,0.039038031655829544,0.015783476365149686,-0.020214359082515596,0.013271369607270048,-0.027676431126545126,0.02213448827049607,0.009492024108281965,0.0074520532333830535,-0.02447147870943693
praying,-0.018670135603224648,-0.002620127299318247,0.012839702251225786,-0.04155300803557003,-0.00026420964771253563,0.02205890411253263,0.009810985538531316,0.0027940159545868084,0.01068631255246344,0.004592935719491178
foreign,-0.005068832573045991,0.04747928397487933,-0.013493628992824547,0.013609969712595154,0.009204468615954215,0.019888903047812895,-0.0033228174992140777,-0.0035617723800619987,-0.007599376462155277,-0.023929423381409954
wicked,-0.024917487504661218,0.041014522462229946,-0.02286186286895858,-0.005732527113545098,-0.0012730809120767026,0.02658392746746962,0.030744233096390346,-0.01983700968647949,0.0037055334352745885,-0.010939352832130062
poured,-0.03849568358594382,0.016833577411763792,0.019005293557280215,-0.027448977861178583,0.03426015151462959,-0.019550547733799092,0.005054616244932232,-0.0010464341552491076,-0.023046592163718436,0.010704796716159364
killing,-0.02549293621524521,-0.005936328495335144,-0.03476324381758148,0.019858103457126942,-0.0017593751115316967,-0.0005261519178663396,0.014760381369002118,-0.014529577349407826,-0.021886717489125525,-0.0029017905140708757
yourself,-0.027088045801092316,0.0075656914127586235,-0.003707577907715537,-0.0013559942909717087,-0.0010399144932445128,0.01636007980852459,-0.006288933114522225,0.006539185032560883,-3.977563688774993e-05,-0.009063423993547521
bid,-0.020368051193339596,-0.011140239747093226,0.02163100544519059,0.001259793225635963,0.0020102646951488897,-0.005775009237360535,-0.005471987854696352,0.009355206184684363,0.0030493743427711015,0.00019366820037665725
leaving,-0.018887895009740155,0.013304091240134397,0.007047523385514763,0.01288979507200396,0.0033027603305918027,-0.008306950791019146,0.022513299835203008,-0.017293036474424508,0.018665897773824342,0.01561122634475507
talking,-0.024450462711736554,0.011035875684255755,0.010382182141583467,-0.016484346091317867,-0.018619393915652014,0.024983759662244424,0.012013835980367028,-0.008177904925456,-0.0008986225189031734,0.015880368244705453
furious,-0.021419988865507233,-0.009593969475041788,-0.007881344218108047,0.014382096937027425,0.005212143017526049,0.0075621583567304215,-0.007749180609499161,0.01824865796501601,-0.0023350996170990925,0.0012605252388741515
suffered,-0.034620850831521055,0.010270267654139043,0.0003028425623829319,-0.010597009547281582,-0.002464159315420452,0.023956446159098838,0.025399343081112486,-0.01390711710989343,0.01551186720847568,0.03802807862824742
holding,-0.010016642361058894,-0.005402210357863274,-0.009926915302814553,-0.017996953611293054,-0.009395863581565949,-0.0049167129411475125,-0.02292045547693941,0.014168187141850646,0.0063089345040250894,-0.010561535287301483
hardly,-0.017435735118651294,-0.003257523231977219,-0.018085256324192896,0.0026244099660606246,-0.015521503419154,0.010304344333907419,-0.009582323012118638,0.007490114793399083,-0.024308985561959148,-0.000298709182292786
flung,-0.03140478362734743,-0.030740534483475253,0.008792863754018623,0.04092869087466759,0.0018320745871063385,0.023066459043207088,-0.005862826795271857,0.0008403741423524376,0.016735259927062505,-5.0822394678838936e-05
beside,-0.009491578774084245,-0.0033172124601385904,0.007725696693117833,-0.01126643990913667,0.0015502249076573239,-0.02380520052498295,-0.010150819830670007,-0.008972507314392517,0.012353626281191538,0.009894397262617826
slept,0.000523753988805345,0.02336806251912587,0.022835739365210602,0.01557820916007621,-0.00992176768082413,0.003512051542564082,0.0031583292756894987,-0.019145156479702143,0.0007260695140169346,-0.01886741046229988
offered,-0.03908192558472683,0.005390024217236145,0.028848207963639183,-0.006084492693983719,0.020205749465563326,-0.01480350660220767,0.018076277568006425,-0.01737209080745955,0.010763490870366656,0.007113604696168906
dark,-0.013471329661029315,-0.010379119663172157,-0.009719711528678931,-0.0058282146865361595,0.0018796968430584943,-0.0005674397178280584,-0.017127516021219383,-0.0032712143297396303,-0.024070776536833215,-0.035439121498126155
handed,-0.03313904313202206,0.017425875732107108,-0.008291599243340761,-0.016323243500270666,-0.011949559650247257,-0.03782789852823267,0.01800231061410783,0.009281767027351106,-0.002364479227378471,-0.008954449822894507
stronger,-0.02964418709286088,-0.015526125398449362,-0.010539778877479486,0.01798533236496275,-0.028047732324139436,-0.013352950693132767,0.007667125257450993,-0.0008243303316256816,0.031103892385268027,0.010302515106161349
excellent,-0.015897079712937384,0.023085544070148633,0.019490521159213934,-0.0045705827445954895,0.020515474196070926,0.0011392273075491628,0.021616058774365357,0.014121150116406973,-0.010955089674570127,0.030565006421253992
wants,0.005928327065478047,0.023656824860208037,-0.01591896266484837,-0.026564114497158467,0.006296311563128794,0.007443426963238027,-0.0467302311797952,-0.017696654617742235,-0.03329090935029138,0.009228716791201548
dwell,0.0002694926762997008,-0.0028763138931316296,0.008549711134541883,0.0009150566987306814,0.006044229014105157,0.020807681165781754,-0.01700066178552953,0.006596617004442192,0.0002301533478803715,-0.010767700556544486
fighting,-0.025788836573850622,-0.01382557791778066,-0.014138568318493862,-0.013929609445324486,0.002936207759732869,0.002326642038217465,0.0006430044296274412,0.00470611434392826,-0.010758107325206382,0.010971354996222274
lying,-0.02910070732958076,-0.0037937665963909298,-0.004804768612511094,0.002225583474150525,-0.005383225638914044,0.018177757503248584,-0.006834685327393742,0.005189824908754911,0.008412259183384965,0.006023631047518452
prevent,-0.008987855262363682,0.009956679436419976,-0.026396292199031904,0.0022764827811515512,-0.0015485060203945028,-0.008360417884801746,-0.025574973980163302,0.0171152167095606,0.015056339693252058,0.003353095120133568
waiting,-0.03354053562425791,0.01822377042837495,0.004784249952751917,0.00305724533786131,-0.04236265590395962,-0.008028869118026406,0.009601779595027728,-0.011716205475274351,-0.03547713839069626,0.018204674838426485
become,-0.015763447690066722,0.0012407176311397695,-0.004264145992272637,0.010705780174684737,-0.006268764669542825,-0.016856319647436224,0.008786847320626921,-0.012703837815668764,0.00751467517238233,0.0024068451911876997
single,-0.02416808481420679,-0.009860092158228036,0.00193869901888416,0.0023848019962557166,-0.020468213700658218,-0.007442635523716865,0.030206313742182286,-0.0010552233321170666,-0.010806143357597362,-0.014176099083799134
telemachus,-0.012659939658675906,0.04872461589799247,-0.04871756312587745,-0.04002538007200896,0.02599998869683536,-0.014903911615189577,-0.010932944029287765,-0.016562605047495224,0.015195194573170083,-0.020285451836422313
cunning,-0.015023936502961358,0.010922170699400244,0.016325843798627195,-0.007780471859551305,-0.013685581929250717,0.031427573562749105,0.007345671668204594,-0.0058523869558385466,-0.027641591871549083,-0.01175436225586806
learn,-0.018645778001452736,-0.010963484727542614,-0.010384490230338123,0.0037527801071230507,-0.04487787512747827,0.024128395891379866,-0.001998256238533818,0.006163123378071579,-0.00998947855647386,0.0015654515269800144
worse,0.0018244311275507409,0.010657388418611607,0.006874278224755326,-0.009978718214577501,0.022804525355694796,-0.023247834849085942,0.0020860076482061484,-0.029267907778985986,-0.004725412894039557,-0.014215468216491754
died,-0.007461539578308917,-0.004817243057018489,0.005656628700111403,-0.019540465733520487,0.0025552630275006037,0.0022924506684840777,-0.0016453763270108494,0.001326758891238497,0.00861688037915746,-0.01644583119699219
bed,-0.013938558848176685,0.045455887113950294,0.016789395573629295,0.003082557881008382,-0.004413036684242331,-0.009022391519112313,0.027983773192932687,-0.03382316471355488,-0.004340275191164622,-0.004523396005461842
moved,-0.03529677302120857,-0.02138382341293083,-0.028106476102184492,0.028895874218881366,0.0015964256313742659,-0.004345058242873438,-0.019002573541979813,0.020529101139997962,0.028482363575479966,-0.01177418659932625
putting,-0.0075534728749701435,0.01055585534573051,-0.00692356370858083,-0.003806963973888144,-0.008324809734489076,0.000607773267597719,-0.011029479407321446,0.026138787429365512,0.00972956411162709,-0.018951777541491025
flying,-0.011363295797201415,-0.018367861480206426,0.0030266143811443972,-0.005602713817420777,0.019085976035998993,0.015915041344695697,0.008104240027507202,-0.006551735816213295,-0.010930275734878054,-0.004982826545817618
hide,-0.007694892429605241,0.016535919284805287,0.000865722343454659,0.029331756048386764,-0.011739561056396048,-0.006905826832407355,-0.0023739386073270987,0.013199223482242914,-0.005084073068724171,-7.960315941972539e-05
safely,-0.01762780806127493,-0.006686904244540268,0.02170868015287127,-0.012734088515198918,0.019145935130030226,-0.014863127894150858,0.026755350452064657,-0.01697463088616958,-0.0048757367181604516,0.01598295732905655
closed,-0.033856170936767245,0.0035458584659775645,-0.016962649297407432,0.04708516365066702,0.010627308380275697,0.010534052086938514,-0.022848019932931646,-0.0024121958263654984,-0.004640009011702908,-0.002802915478910591
chief,-0.002325174541796715,0.017101088292871332,0.01419642203843203,-0.006706865952958983,0.013201241834981668,-0.001971371659669073,-0.0029720365450183806,-0.009051875410836636,0.0011610637769047757,0.0275233336812706
presently,-0.02353880413564344,0.002159236826378037,0.01608463053777819,-0.008870887439038827,-0.0024911274538003234,0.0063124314901548875,0.02326568370508345,-0.00615793315845852,-0.010113440341869192,0.01827725476660547
shed,-0.01378599680098012,0.013830498812696917,-0.0026879335365258532,0.0026476327526247173,-0.035826074867581645,-0.022236281394624104,0.022696334618356226,0.0089103058204818,0.003031079500124198,-0.008997138398402441
placed,-0.034466138971048305,0.016312593610459163,0.03606439182926322,-0.0008659356024981718,0.025343051507756835,-0.01850978741107262,0.015314713402064906,-0.0024323602870229243,0.012288487162817687,0.0012349992183671426
pay,-0.0028350734366004737,-0.011773000584300853,-0.003304864666841427,-0.0007679086236243413,0.007320538375361635,-0.005766797021924431,-0.024720604829259953,0.0074397729437717264,0.012184174454391971,-0.004598279353009033
rosy,-0.008954510062439289,0.03499080679940342,0.008966137871629988,-0.010240056748074303,0.003889545144263886,0.04318530844320787,0.008269181863375268,-0.022539299223063487,-0.006345215604236312,0.019212339449034263
whatever,-0.004401993276810597,0.02672673181858987,0.009937811394678335,0.00867374792618324,0.0066570988723068615,-0.021595898839951094,-0.0032584587488527937,0.006765740305408453,-7.734764529198799e-05,0.00031389585512016935
queen,0.001177903718856203,0.014447492082284548,0.01718935866197379,-0.012448637854105528,-0.006413737488396163,-0.02940726657363818,0.008486882996373485,-0.011340757936909203,-0.001639019313470753,0.026112196328481812
drove,-0.027315636049839095,-0.026977601410785312,0.0063895364421822495,-0.018704848591231858,0.017655538054254332,0.014946138946681842,0.014734819003988327,-0.007974156693877268,0.023377310284874837,0.008968444612663825
win,-0.0045657822396388695,-0.013090168164010388,-0.00410775773480226,-0.0028049270685488563,-0.011341826858868843,-0.02680645619363977,-0.005477321194537716,0.00708080162800352,-0.012922969816980165,0.006987488207582837
grow,-0.003967558948811039,0.010690770327131841,0.03366016341670227,0.01588001521265393,-0.02022953559466588,-0.00663137931855741,0.0032701392890781018,-0.015542054677801932,0.0034934320247641845,-0.007036238795718505
hit,-0.025928412119223032,-0.026224314659661713,-0.028641415886062442,0.010561362973740466,0.018249639371804367,-0.030930774569951035,0.01961112739797738,-0.007608724309010241,0.018032284680582697,-0.022764417046576703
believe,-0.0016799801515178755,0.020153722549311116,-0.010783302623522208,-0.004802833502995282,0.013998480830140885,0.009311332770187393,0.018938720485126598,0.007558010935305746,0.0028950679056756433,-0.030432411611862817
consider,-0.02907031358333028,0.040918435044879395,-0.0002332122086295664,0.04426588914337326,-0.016060931703772676,-0.03584108840482859,0.02152972207590514,-0.0009787759918271043,-0.008540602672748756,-0.04027111975374578
terrible,-0.01903754587595124,-0.0143459390807187,0.0010023923851390332,-0.00215839761245623,-0.018418619864312927,0.006440244727063412,0.022376732341324,0.0021240782902869617,0.014274299451021216,-0.019369399543951296
running,-0.023433000817358135,-0.008997821465844082,-0.014446468973057175,0.006379337870724878,0.022446943940663572,0.0054779084248423645,0.004995397393027703,0.001979793148513792,-0.005275069624789901,-0.000220383683542681
double,-0.0037236950565724585,-0.00429565977858529,0.0028198408842634404,-0.02601222415547109,0.002392178355952104,0.015186740405594985,0.013774820130450874,-0.006114240820937625,-0.010750477130105213,0.005163880904100857
pray,-0.0045274665848639845,0.01609924438262185,0.019753001408897665,-0.0076707591173648315,0.020036207512054864,-0.0033333204787093225,0.010095554739642893,-0.01380180700181561,-0.004302081443140827,-0.010191811674269264
